# IDs | instructor-note section (searchable heading) | lecture slide, - if no matching text locator
q1,p102|Placenta previa|8
q4,p101,v304|Abruptio placentae|8
q5,p103|Disseminated Intravascular Coagulation (DIC)|17
e202|Spontaneous abortion|3-4
q2,p104,p105,p106,p107,p108|Ectopic pregnancy|6
q3,q10,p109,p110|Preeclampsia; Care of patients with severe gestational hypertension and severe preeclampsia|13-14
q15|HELLP Syndrome|15
p111|Eclampsia|14
e207|Preeclampsia: risks continue postpartum|13-14
q7,q13,p112,p113,p114,p115,e208|Diabetes Mellitus; Management of Diabetes Mellitus|18-19
q6,p119|Gestational trophoblastic disease|7
q8,p121|Infections during pregnancy: Rubella|23
q9,p116,p117,p118|Preeclampsia: fetal assessment and monitoring of fetal activity|bonus:6,15
q11|L&D: Obstetric Procedures: External cephalic version|labor:8
q12|Preeclampsia: fetal assessment; Abruptio placentae: fetal heart rate findings|bonus:15
q14,p120|Cervical insufficiency|5
e201|Hyperemesis Gravidarum|10
e203|Iron deficiency anemia|20
e204|Cardiac Disease|16
e205|Epilepsy (not eclampsia)|-
e206|Infections during pregnancy: Cytomegalovirus (CMV)|23
e209|Adolescent pregnancy: Support and access to resources|2
q16,q27,e210,e231|Oxytocin (Pitocin)|10
q17,e232|Preterm Labor: Magnesium sulfate; Pregnancy notes: magnesium toxicity|3
q23,q26,e212,e213,e214,e215,e237|Preterm Labor|3
q18,q28,e233|Premature rupture of membranes; Chorioamnionitis|4
q19,e216,e217|Amniotomy; Umbilical cord prolapse|10,19
q20,e221,e222,e223,e224|Cesarean birth: complications and care management|13-14
q24,e234,e235,v305|Operative vaginal birth: trauma, lacerations and hematoma|11
q25|Cesarean birth: postoperative postpartum; Pregnancy notes: postpartum hypertensive risks|14
q21,e236|Precipitate labor|22
q22,e227,v303|Umbilical cord prolapse|19
q29,e228,e229|Shoulder dystocia|18
q30,e239|Uterine rupture|20
e211|Cervical ripening methods|10
e218|Amnioinfusion|-
e219,e230|Dysfunctional labor (dystocia)|6
e220|Problems with the passenger: Multifetal pregnancy|6
e225|Vaginal birth after cesarean (VBAC)|15
e238|Induction of labor: contraindications; Cesarean birth: Active herpes|9,13
e226|Anaphylactoid Syndrome or Amniotic Fluid Embolism (AFE)|21
q31,e245,e246,v306|Infants of Mothers with Diabetes; Hypoglycemia|22-23
q32,q43,e250,e251|Birth trauma|18
q33,e266|Newborn Screening for Disease|-
q34|Postterm Infants; Meconium aspiration|14,20
q35,e244|Preterm Infants: thermoregulation and hypoglycemia risks|4,15,23
q36,e255|Neural tube defects, myelomeningocele|32
q37,e257|Development Dysplasia of the Hip|34
q38,e256|Hydrocephalus|33
q39,e259,e260,v312|Hemolytic disorders; kernicterus and encephalopathy|26
q40,e261,e262|Maternal substance abuse: Opioids; Newborn Abstinence Syndrome|24-25
q41,e242,e243|Preterm Infants: Respiratory distress syndrome and nutrition|3,7,12
q42,e247|Necrotizing enterocolitis|13
q44,e252|Cleft lip and palate|28
q45,e254|Omphalocele, gastroschisis|30
e240,e241|Infection: Sepsis|21
e248,e249|Postterm Infants: Meconium aspiration; Neonatal resuscitation procedure|19-20
e253|Esophageal atresia, tracheoesophageal fistula|29
e258|Clubfoot|35
e263,e269|Discharge planning and home care; Bronchopulmonary dysplasia|10,12
e264|Care of the High Risk Newborn & Family: Family support and involvement|9
e265|Neonatal Loss|36
e267,e268|Care of the High Risk Newborn & Family: Developmental outcomes; Energy conservation|6,10
q46,e272,e273|Caution using combination hormone oral contraceptives|contraception:4
q47,e270,e271,e275,v307|Emergency contraception; Hormonal methods|contraception:4-5
q48,e279|Management of care: Contraceptive choice; Adolescents|contraception:2
q49,e297,e298|Breast Disorders: Therapeutic management; Nursing care|11
q50,e282|Pelvic inflammatory disease (PID)|-
q51,e283|Chlamydia|15
q52|Bacterial vaginosis|23
q53|Candidiasis|24
q54,e293|Male factors of infertility: Semen analysis|28,30
q55|Detection of ovulation; Basal body temperature method|29
q56,e289|Menopause; Disorders of the reproductive tract: symptoms that must always have follow-up|-
